id;ttext
0;почетных гостей и участников мероприятия, которое в этом году проходит в режиме онлайн, поприветствовал губернатор андрей бочаров
1;в круглосуточном режиме действует оперативный штаб под руководством губернатора андрей бочарова
2;свои глубокие соболезнования родным и близким покойного выразил губернатор волгоградской области андрей бочаров
3;губернатор волгоградской области андрей бочаров выразил глубокие соболезнования в связи с уходом из жизни профессора вгспу
4;создание условий для всестороннего развития подрастающего поколения поставил губернатор волгоградской области андрей бочаров
5;губернатор андрей бочаров ставит в этом плане конкретные цели перед органами местного самоуправления
6;задачу создать современное пространство, объединив лучшие образовательные практики, поставил губернатор андрей бочаров
7;оперативный штаб под руководством губернатора андрея бочарова работает в круглосуточном режиме
8;напомним, задачу проработать предложения по усилению мер профилактики поставил губернатор андрей бочаров на оперативном совещании
9;соответствующее постановление подписал губернатор волгоградской области андрей бочаров в связи со стабилизацией обстановки с пожарами и снижением класса пожарной опасности
10;комплекс задач по защите прав участников долевого строительства губернатор андрей бочаров держит на особом контроле
